"","away_team_api_id","home_team_api_id","H_overall_rating","A_overall_rating","H_potential","A_potential","H_buildUpPlaySpeedClass","H_buildUpPlayDribblingClass","H_buildUpPlayPassingClass","H_buildUpPlayPositioningClass","H_chanceCreationPassingClass","H_chanceCreationCrossingClass","H_chanceCreationShootingClass","H_chanceCreationPositioningClass","H_defencePressureClass","H_defenceAggressionClass","H_defenceTeamWidthClass","A_buildUpPlaySpeedClass","A_buildUpPlayDribblingClass","A_buildUpPlayPassingClass","A_buildUpPlayPositioningClass","A_chanceCreationPassingClass","A_chanceCreationCrossingClass","A_chanceCreationShootingClass","A_chanceCreationPositioningClass","A_defencePressureClass","A_defenceAggressionClass","A_defenceTeamWidthClass","result"
"812",8659,9850,746,811,829,866,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"813",9869,8371,766,819.5939669,829,859,2,1,2,2,2,3,3,1,2,3,3,3,1,2,2,3,2,2,2,2,3,2,2
"814",8661,8603,777,790,833,846,2,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,1,2,3,2,2
"815",8315,8558,807,828,864,874,3,1,2,2,3,3,2,2,2,3,2,3,1,3,2,2,3,2,2,2,2,2,2
"819",7878,9864,841,819.5939669,907,832,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,3,2
"821",9825,8655,791,868,871,941,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,2
"822",9850,8559,817.8481077,738,868.4805294,802,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"823",8528,8668,837,782,897,882,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"824",8659,10003,749,784,844,853,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"825",10172,8602,800,794,848,858,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"826",10205,7878,786,834,846,885,2,1,2,2,2,2,2,2,2,3,3,2,1,2,1,2,2,3,1,2,3,2,2
"827",10267,9869,792,849,859,909,3,1,2,2,3,2,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,3
"828",9864,8661,792,857,848,908,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"829",8371,8634,902,773,962,827,2,1,2,1,2,1,3,1,3,3,3,2,1,2,2,2,3,3,1,2,3,3,2
"830",8560,8302,838,795,898,862,3,1,2,1,3,3,3,1,2,3,3,2,1,2,2,2,2,2,2,2,3,2,2
"832",8455,10260,869,905,949,955,2,1,2,2,2,2,3,1,2,3,2,2,1,2,1,2,2,3,1,2,3,2,2
"833",10194,8472,825,813,893,876,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
"834",8650,8586,861,876,915,929,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"835",8558,8394,806,786,876,848,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,3,2,2,2,3,2,2
"836",8696,9906,848,761,920,817,2,1,2,2,2,3,3,2,2,3,2,2,1,2,2,3,3,2,2,2,3,2,2
"837",8370,8305,815,742,884,813,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,3,3
"838",8633,8581,784,905,834,962,3,1,2,2,3,2,2,2,2,3,2,2,1,2,1,3,2,3,1,3,3,2,2
"839",8603,8315,828,788,876,849,3,1,3,2,2,3,2,2,2,2,2,2,1,2,2,3,2,3,1,2,3,2,3
"841",7878,8560,789,819.5939669,849,839,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,3,2
"842",8661,10205,838,791,903,842,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,1,2,3,2,2
"843",8315,9864,844,836,910,887,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,2,2,2
"845",9869,9906,827,792,912,848,2,1,2,2,2,3,3,2,2,3,2,3,1,2,2,3,2,2,2,2,3,2,2
"846",8581,8370,752,790,803,832,2,1,2,2,2,2,2,2,2,3,3,3,1,2,2,3,2,2,2,2,3,2,3
"848",8394,8603,777,794,841,884,2,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"849",8305,8558,785,788,851,881,3,1,2,2,3,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"850",8559,9825,862,819.5939669,948,868.0962077,3,1,2,1,2,2,2,1,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
"851",10003,8455,885,749,956,847,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"852",8602,8650,852,768,923,840,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"853",8668,8456,885,846,959,892,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
"854",8655,10261,826,798,887,878,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"857",8586,8528,784,878,870,918,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
"859",8370,8633,882,726,960,799,2,1,2,1,3,2,3,1,3,3,2,2,1,2,2,2,2,2,2,2,3,3,2
"860",10267,8302,841,842,906,890,3,1,2,1,3,3,3,1,2,3,3,2,1,2,2,2,2,2,1,2,3,2,2
"861",9906,8634,899,841,958,901,2,1,2,1,2,1,3,1,3,3,3,2,1,2,2,2,3,3,2,2,3,2,2
"866",8560,8661,802,782,846,843,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"867",8558,8581,784,774,836,845,3,1,2,2,3,2,2,2,2,3,2,3,1,2,2,3,3,2,2,2,3,2,2
"868",8472,9850,741,829,802,893,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"869",8603,8305,810,782,883,851,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,3,2,3,1,2,3,2,2
"870",8528,10252,838,786,915,865,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"871",8456,8655,811,866,890,950,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,3
"872",8650,8668,844,869,907,925,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"873",9850,10260,866,742,939,800,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"875",10261,8602,795,820,857,881,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"878",7878,10267,840,819.5939669,907,812,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,3,2
"879",8305,9864,844,819.5939669,910,880,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"881",8455,8559,806,906,871,957,2,1,3,2,2,3,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,3
"882",10172,9879,843,789,901,865,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"883",10194,10003,757,797,838,859,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
"884",9825,8586,867,819.5939669,922,868.0962077,2,1,2,1,3,3,3,2,1,3,2,3,1,2,1,2,2,2,1,2,3,2,2
"885",8581,8603,773,794,848,842,2,1,2,2,3,2,3,1,2,3,2,3,1,2,2,3,2,2,2,2,3,2,3
"886",8634,9869,794,912,854,955,3,1,2,2,3,2,2,2,2,3,2,2,1,2,1,2,1,3,1,3,3,3,3
"887",8315,8560,797,826,852,866,2,1,2,2,2,2,2,2,2,3,2,3,1,3,2,2,3,2,2,2,2,2,3
"888",8633,8558,799,919,857,974,3,1,2,2,3,3,2,2,2,3,2,2,1,2,1,3,2,3,1,3,3,2,3
"890",8668,8455,886,857,953,904,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
"892",10252,8456,873,842,944,912,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"893",10003,9850,741,759,802,857,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"895",9879,10194,810,850,868,901,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"896",8559,8528,784,816,859,882,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,3
"900",8696,8634,904,763,969,823,2,1,2,1,2,1,3,1,3,3,3,2,1,2,2,3,3,2,2,2,3,2,2
"901",8603,8633,904,781,968,826,2,1,2,1,3,2,3,1,3,3,2,2,1,2,2,3,2,3,1,2,3,2,2
"902",8472,9825,842,820,928,883,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"904",8602,8659,789,773,841,854,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"905",8558,8370,740,805,815,861,2,1,2,2,2,2,2,2,2,3,3,3,1,2,2,3,3,2,2,2,3,2,3
"906",9864,8581,787,853,841,914,3,1,2,2,3,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"907",9869,8302,839,819.5939669,904,852,3,1,2,1,3,3,3,1,2,3,3,3,1,2,2,3,2,2,2,2,3,2,2
"908",8560,8394,803,794,876,831,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"909",8371,8315,825,778,882,837,3,1,3,2,2,3,2,2,2,2,2,2,1,2,2,2,3,3,1,2,3,3,2
"910",8659,10252,826,796,903,847,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"911",8472,8559,813,809,884,887,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"913",8528,10261,819,795,887,856,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"915",8558,8696,781,797,846,857,2,1,2,2,3,3,2,2,2,3,2,3,1,2,2,3,3,2,2,2,3,2,3
"916",8633,9864,835,921,911,973,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,2,3,1,3,3,2,3
"918",7878,9869,794,819.5939669,854,811,3,1,2,2,3,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,3,2
"919",10194,9825,859,800,940,859,3,1,2,1,2,2,2,1,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
"920",8586,8655,809,880,884,920,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
"921",8668,9879,843,853,901,898,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
"922",8456,10260,880,871,947,952,2,1,2,2,2,2,3,1,2,3,2,3,1,2,2,3,2,3,1,2,3,2,3
"923",8455,10172,787,908,853,960,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,2
"926",8581,10205,839,791,897,829,2,1,2,1,2,2,3,1,2,3,2,3,1,2,2,3,2,2,2,2,3,2,3
"928",8394,8371,777,798,841,877,2,1,2,2,2,3,3,1,2,3,3,2,1,2,2,2,2,2,2,2,3,2,2
"929",8370,8603,774,730,834,804,2,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,3,3
"931",8634,7878,739,924,804,963,2,1,2,2,2,2,2,2,2,3,3,2,1,2,1,2,1,3,1,3,3,3,3
"933",9869,8661,817.8481077,819.5939669,868.4805294,852,2,1,2,2,2,2,2,1,2,3,2,3,1,2,2,3,2,2,2,2,3,2,3
"934",8560,8581,787,790,841,851,3,1,2,2,3,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"935",10205,8633,903,843,968,891,2,1,2,1,3,2,3,1,3,3,2,2,1,2,1,2,2,3,1,2,3,2,2
"936",10267,8394,805,834,880,906,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,3
"937",9864,8370,742,846,820,899,2,1,2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,2,2,2,3,2,2
"938",8603,8558,795,781,855,840,3,1,2,2,3,3,2,2,2,3,2,2,1,2,2,3,2,3,1,2,3,2,2
"939",9906,8315,820,850,883,920,3,1,3,2,2,3,2,2,2,2,2,2,1,2,2,2,3,3,2,2,3,2,2
"940",9825,8455,885,868,954,943,2,1,2,1,2,2,3,1,2,3,2,3,1,2,1,2,2,2,1,2,3,2,3
"941",10260,8668,837,866,904,943,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
"942",8602,8456,882,752,959,832,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"945",8559,10003,749,810,835,872,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
"946",8650,8659,792,874,842,930,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"947",9879,8528,792,844,854,902,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"948",8633,8560,786,918,855,972,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,2,3,1,3,3,2,3
"949",8370,10205,843,736,895,799,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,3,2
"950",8305,10267,838,795,893,879,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"951",8661,8634,867,819.5939669,933,868.0962077,2,1,2,1,2,1,3,1,3,3,3,2,1,2,2,2,2,2,1,2,3,2,2
"952",10172,8586,867,798,924,874,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"953",8581,8371,777,793,841,845,2,1,2,2,2,3,3,1,2,3,3,3,1,2,2,3,2,2,2,2,3,2,2
"954",8603,8696,747,730,814,787,2,1,2,2,3,3,2,2,2,3,2,2,1,2,2,3,2,3,1,2,3,2,2
"956",8394,9906,836,791,914,872,2,1,2,2,2,3,3,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"957",8558,9864,842,794,909,862,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,3,2,2,2,3,2,2
"958",10261,10194,811,830,868,889,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"959",7878,8302,838,819.5939669,905,819,3,1,2,1,3,3,3,1,2,3,3,2,1,2,2,2,2,2,2,2,3,3,3
"960",8659,9825,835,794,921,842,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"961",9850,10252,830,755,904,813,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"962",8455,8655,794,911,879,954,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,3
"964",8472,10260,882,795,945,885,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"965",8668,10261,815,844,881,896,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
"966",8456,10172,794,866,868,947,2,1,2,2,2,2,2,2,2,3,2,3,1,2,2,3,2,3,1,2,3,2,3
"968",10267,8581,784,840,834,896,3,1,2,2,3,2,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,3
"970",10194,8559,801,813,883,867,2,1,3,2,2,3,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
"971",8586,9879,842,884,899,924,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
"972",8528,8602,781,783,843,862,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"973",8560,8370,743,796,801,862,2,1,2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,2,2,2,3,2,2
"975",9906,8305,809,835,871,902,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,3,2,2,3,2,2
"978",8371,8633,901,819.5939669,967,868.0962077,2,1,2,1,3,2,3,1,3,3,2,2,1,2,2,2,3,3,1,2,3,3,2
"980",8602,8668,845,764,907,842,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"981",10261,8456,882,816,954,884,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"982",9825,9850,742,869,798,944,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,3
"983",10172,10194,812,783,863,861,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"985",10260,10003,756,896,829,959,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
"986",8559,8659,796,810,844,878,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
"988",8603,10205,821,766,883,811,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,3,2,3,1,2,3,2,2
"989",8633,10267,837,906,895,959,2,1,2,2,2,2,2,1,2,3,2,2,1,2,1,3,2,3,1,3,3,2,3
"990",8394,8634,892,770,953,865,2,1,2,1,2,1,3,1,3,3,3,2,1,2,2,2,2,2,2,2,3,2,2
"991",8650,8455,895,869,960,918,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"993",8581,9906,839,791,912,844,2,1,2,2,2,3,3,2,2,3,2,3,1,2,2,3,2,2,2,2,3,2,2
"994",8315,8302,838,823,908,873,3,1,2,1,3,3,3,1,2,3,3,3,1,3,2,2,3,2,2,2,2,2,3
"996",8305,9869,791,807,849,864,3,1,2,2,3,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"997",10252,8586,867,848,924,910,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"998",9864,8696,780,833,825,902,2,1,2,2,3,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"1000",8668,8559,817.8481077,855,868.4805294,901,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,3,2,2,2,3,2,3
"1001",8602,8455,867,751,945,839,2,1,2,1,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1003",10172,9850,741,782,812,845,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1004",8655,10194,810,786,867,873,2,1,3,2,1,3,2,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1005",8528,8472,817,783,887,858,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"1006",8586,8659,796,872,844,916,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,3,3,3,2,1,3,2,3
"1007",9906,8633,902,846,966,922,2,1,2,1,3,2,3,1,3,3,2,2,1,2,2,2,3,3,2,2,3,2,2
"1008",10267,8370,740,804,803,888,2,1,2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,2,1,2,3,2,3
"1009",8634,8305,811,913,866,957,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,1,3,1,3,3,3,2
"1012",8371,8558,783,819.5939669,853,868.0962077,3,1,2,2,3,3,2,2,2,3,2,2,1,2,2,2,3,3,1,2,3,3,3
"1013",8696,8661,817.8481077,779,868.4805294,833,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,3,3,2,2,2,3,2,2
"1014",9869,8581,789,819.5939669,856,852,3,1,2,2,3,2,2,2,2,3,2,3,1,2,2,3,2,2,2,2,3,2,2
"1015",8560,8603,786,791,822,849,2,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"1016",7878,8315,828,819.5939669,883,848,3,1,3,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3
"1017",8302,8394,788,826,866,896,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,3,3,3,1,2,3,3,3
"1018",10205,9864,833,822,897,884,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,2
"1019",8370,8634,910,819.5939669,965,868.0962077,2,1,2,1,2,1,3,1,3,3,3,2,1,2,2,2,2,2,2,2,3,3,2
"1020",10260,10252,827,884,899,953,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
"1021",10003,8655,801,819.5939669,880,868.0962077,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1022",9850,8456,889,742,961,809,3,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1023",8455,10261,819,897,899,951,2,1,2,2,2,2,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,3
"1025",8559,8586,865,819.5939669,922,868.0962077,2,1,2,1,3,3,3,2,1,3,2,2,1,3,2,2,3,2,2,2,3,2,2
"1026",9825,8528,783,869,853,944,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,3
"1027",10205,8696,779,833,837,891,2,1,2,2,3,3,2,2,2,3,2,2,1,2,1,2,2,3,1,2,3,2,2
"1028",8558,10267,836,761,898,837,2,1,2,2,2,2,2,1,2,3,2,3,1,2,2,3,3,2,2,2,3,2,2
"1029",8581,8634,896,792,949,855,2,1,2,1,2,1,3,1,3,3,3,3,1,2,2,3,2,2,2,2,3,2,2
"1030",8633,9869,795,914,855,970,3,1,2,2,3,2,2,2,2,3,2,2,1,2,1,3,2,3,1,3,3,2,3
"1031",10194,8668,842,821,897,862,2,1,2,2,2,3,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,3
"1032",8472,8602,785,798,854,875,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1033",8370,9906,842,736,923,799,2,1,2,2,2,3,3,2,2,3,2,2,1,2,2,2,2,2,2,2,3,3,2
"1034",8603,8371,786,773,838,819,2,1,2,2,2,3,3,1,2,3,3,2,1,2,2,3,2,3,1,2,3,2,2
"1036",9864,8560,785,830,840,896,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1037",8394,7878,785,788,848,874,2,1,2,2,2,2,2,2,2,3,3,2,1,2,2,2,2,2,2,2,3,2,2
"1038",8650,9879,840,865,903,918,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1039",8305,8302,831,815,898,869,3,1,2,1,3,3,3,1,2,3,3,2,1,2,2,2,2,2,2,2,3,2,2
"1041",8668,9825,868,856,948,901,3,1,2,1,2,2,2,1,2,3,2,2,1,2,2,2,3,2,2,2,3,2,2
"1042",10252,8559,817.8481077,829,868.4805294,900,2,1,3,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"1043",10172,8650,861,789,925,855,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1044",8602,10260,877,772,950,856,2,1,2,2,2,2,3,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1045",10261,9850,751,806,801,880,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1046",9879,10003,817.8481077,845,868.4805294,905,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1047",8528,8659,796,785,848,855,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"1048",8302,8581,786,822,843,896,3,1,2,2,3,2,2,2,2,3,2,3,1,2,1,3,3,3,1,2,3,3,2
"1049",10267,8603,752,812,818,894,2,1,2,2,3,2,3,1,2,3,2,2,1,2,2,2,2,2,1,2,3,2,2
"1050",8634,8633,900,934,966,971,2,1,2,1,3,2,3,1,3,3,2,2,1,2,1,2,1,3,1,3,3,3,3
"1051",8586,10194,805,885,858,927,2,1,3,2,1,3,2,2,1,3,2,2,1,2,1,3,3,3,2,1,3,2,2
"1052",8655,8472,814,811,879,883,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1054",8661,8394,781,796,867,852,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,1,2,3,2,3
"1055",9869,8370,751,819.5939669,804,857,2,1,2,2,2,2,2,2,2,3,3,3,1,2,2,3,2,2,2,2,3,2,3
"1057",7878,8305,804,819.5939669,872,830,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,3,2
"1058",9906,8558,776,845,839,922,3,1,2,2,3,3,2,2,2,3,2,2,1,2,2,2,3,3,2,2,3,2,2
"1060",8456,8455,868,872,941,953,2,1,2,1,2,2,3,1,2,3,2,3,1,2,2,3,2,3,1,2,3,2,2
"1061",8659,8655,804,800,877,853,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"1063",8559,9879,837,819.5939669,901,868.0962077,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,2
"1066",10194,8602,793,807,869,854,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,1,3,2,2,1,3,2,3
"1067",8558,9869,793,781,852,856,3,1,2,2,3,2,2,2,2,3,2,3,1,2,2,3,3,2,2,2,3,2,3
"1068",8633,8302,833,900,906,946,3,1,2,1,3,3,3,1,2,3,3,2,1,2,1,3,2,3,1,3,3,2,3
"1069",8394,8315,818,751,873,835,3,1,3,2,2,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2
"1070",8305,8661,799,797,836,876,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"1071",8650,10252,829,864,905,919,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"1072",9825,8456,883,875,957,950,3,1,2,2,3,2,3,1,2,3,2,3,1,2,1,2,2,2,1,2,3,2,2
"1073",10260,10172,781,881,846,957,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
"1074",8472,8586,864,814,924,881,2,1,2,1,3,3,3,2,1,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1076",8581,7878,761,793,829,838,2,1,2,2,2,2,2,2,2,3,3,3,1,2,2,3,2,2,2,2,3,2,2
"1077",8603,9906,843,744,915,795,2,1,2,2,2,3,3,2,2,3,2,2,1,2,2,3,2,3,1,2,3,2,3
"1078",9864,10267,839,832,899,901,2,1,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1079",10205,8371,817.8481077,842,868.4805294,891,2,1,2,2,2,3,3,1,2,3,3,2,1,2,1,2,2,3,1,2,3,2,2
"1081",8559,8655,807,819.5939669,881,868.0962077,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,3,2,2,2,3,2,3
"1082",8472,10172,780,823,856,892,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3
"1084",9825,10252,833,819.5939669,911,868.0962077,2,1,2,2,2,2,2,2,2,3,2,3,1,2,1,2,2,2,1,2,3,2,3
"1085",10003,8668,840,819.5939669,901,868.0962077,2,1,2,2,2,3,2,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,2
"1086",10260,9879,837,871,901,953,2,1,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,3,1,2,3,2,3
"1087",10194,8456,881,810,955,855,3,1,2,2,3,2,3,1,2,3,2,2,1,3,2,1,3,2,2,1,3,2,2
