"","player_api_id","overall_rating","potential","preferred_foot","attacking_work_rate","defensive_work_rate","crossing","finishing","heading_accuracy","short_passing","volleys","dribbling","curve","free_kick_accuracy","long_passing","ball_control","acceleration","sprint_speed","agility","reactions","balance","shot_power","jumping","stamina","strength","long_shots","aggression","interceptions","positioning","vision","penalties","marking","standing_tackle","sliding_tackle","gk_diving","gk_handling","gk_kicking","gk_positioning","gk_reflexes"
"162281",25525,71,71,2,5,16,77,56,64,75,54,60,76,78,76,71,62,64,67,71,71,74,61,69,65,65,71,69,57,53,49,72,73,72,9,14,13,15,15
"12098",25526,77,77,3,5,17,46,22,80,69,24,64,30,34,65,70,52,54,48,65,33,59,70,61,82,31,76,79,34,59,34,79,81,79,12,15,11,12,15
"8884",25535,66,66,3,5,16,59,65,56,52,74,65,43,39,49,68,56,69,62,68,67,77,55,62,76,63,61,21,66,56,74,24,26,27,5,13,13,12,14
"115636",25537,74,74,3,5,16,62,73,79,76,76,72,76,67,69,75,66,67,63,75,61,80,68,78,78,72,66,45,77,76,80,44,53,38,11,12,15,14,9
"182575",25538,69,69,3,5,17,68,69,73,71,67,66,55,68,66,72,68,58,74,69,63,72,85,76,79,69,62,33,65,68,74,24,39,26,12,10,13,16,8
"18532",25539,70,70,2,2,15,68,18,62,74,17,61,64,53,79,67,81,82,74,69,66,67,72,78,71,22,71,66,65,49,49,71,71,68,13,11,14,5,7
"177386",25540,81,81,3,5,17,10,19,10,39,11,11,14,71,28,23,50,54,60,77,59,35,80,35,71,10,59,21,10,58,75,12,12,11,78,80,77,78,90
"169174",25541,69,69,2,5,17,72,41,72,70,66,61,73,71,68,71,77,84,63,70,67,90,77,68,84,72,66,63,69,59,75,67,72,66,13,12,14,15,9
"84870",25543,72,72,3,2,16,67,72,73,69,76,75,61,67,50,72,78,79,76,67,58,77,79,62,74,65,78,44,69,62,76,25,32,24,11,12,10,12,7
"29453",25549,68,68,3,5,17,56,50,54,73,61,63,54,60,72,70,69,66,75,67,73,75,55,67,76,65,77,72,60,59,59,62,72,73,5,14,11,10,11
"142700",25550,73,73,3,2,16,69,77,72,74,75,77,74,71,59,74,76,72,75,74,67,81,78,65,71,74,68,33,77,64,60,37,32,22,15,7,15,8,16
"19246",25551,70,70,3,2,17,48,78,58,49,63,65,66,61,66,68,74,77,64,65,74,78,82,67,77,56,82,39,76,47,68,24,23,19,9,7,15,9,10
"67848",25560,66,66,2,5,15,49,46,69,67,48,53,41,65,64,65,32,50,51,62,33,78,45,74,92,67,83,54,30,45,56,68,68,70,13,12,10,16,16
"25968",25563,79,79,3,5,17,12,11,13,27,13,15,11,12,29,14,44,45,65,70,57,22,76,40,79,12,34,24,14,40,24,13,11,12,83,80,70,75,87
"170095",25565,64,64,2,5,16,74,29,56,67,57,70,79,36,66,73,55,67,52,59,47,72,61,56,78,54,76,65,57,56,40,49,65,68,12,14,14,14,11
"1241",25571,76,76,3,2,16,64,68,60,82,67,78,68,71,71,81,66,67,63,74,80,80,62,34,91,70,70,55,67,81,76,44,59,58,8,16,12,11,12
"79142",25572,72,72,3,5,17,56,52,72,78,60,64,63,42,74,75,64,66,61,75,81,62,85,74,66,56,65,77,73,78,51,67,62,64,16,8,8,6,16
"143586",25574,72,72,3,2,17,41,76,76,62,70,73,63,59,53,71,64,65,68,70,67,72,75,62,73,70,62,40,78,59,66,25,23,17,15,13,11,9,16
"143542",25575,65,65,3,5,17,55,65,75,73,56,48,57,27,67,53,74,78,76,63,43,69,80,79,83,66,53,17,64,58,54,35,17,14,15,13,6,14,5
"40333",25579,59,60,3,5,17,52,59,62,61,61,59,52,39,60,61,64,67,72,64,71,64,71,62,70,56,22,42,61,60,64,56,62,58,12,13,12,5,14
"108768",25581,67,74,3,1,2,68,41,67,71,NA,55,NA,43,52,61,75,72,NA,59,NA,70,NA,75,69,50,66,68,65,NA,64,60,72,NA,9,20,52,20,20
"96071",25583,58,64,3,1,2,49,60,52,49,51,62,43,45,36,56,71,68,71,51,66,57,72,69,67,51,35,25,55,52,53,21,25,18,8,13,6,9,13
"32528",25584,55,55,2,4,15,25,25,57,52,25,46,32,25,44,51,53,57,41,48,53,57,54,62,63,25,56,53,25,22,49,55,56,53,5,10,5,14,13
"103055",25587,76,76,3,2,17,78,40,79,69,60,71,64,62,66,73,79,79,72,75,58,74,78,85,79,75,71,75,66,49,52,73,77,77,15,11,10,14,14
"53355",25588,69,75,3,3,13,55,41,63,75,52,60,60,57,65,72,71,71,69,68,58,63,64,72,68,61,75,62,60,70,56,64,74,72,9,8,10,7,10
"165495",25594,77,77,2,2,17,76,72,79,78,86,75,76,72,78,83,69,68,79,78,56,76,78,60,78,74,61,68,84,76,74,56,68,63,8,12,6,5,13
"60612",25595,69,69,3,4,15,55,40,50,74,56,67,55,61,70,65,67,63,69,64,76,89,73,78,89,73,89,75,64,58,54,72,75,81,9,8,12,7,14
"65953",25597,74,74,2,5,16,69,71,70,74,78,83,80,69,65,83,66,65,63,69,72,76,72,55,62,74,52,39,79,71,68,25,40,35,10,14,10,6,15
"174105",25598,69,69,3,5,17,48,72,66,58,68,64,63,58,38,68,60,66,56,70,76,69,68,34,66,68,52,24,78,56,73,25,22,25,6,12,14,14,8
"153683",25600,59,59,2,5,17,52,57,64,51,57,50,53,44,48,55,55,51,61,59,64,64,61,69,81,55,69,40,61,42,62,36,24,20,13,9,8,15,10
"151292",25604,67,70,3,6,18,60,74,70,57,NA,53,NA,65,41,67,56,50,NA,76,NA,74,NA,65,76,62,34,59,74,NA,68,30,29,NA,15,21,41,21,21
"128641",25611,70,70,3,5,17,35,72,74,48,61,56,46,31,38,64,53,69,40,74,53,76,71,71,83,63,73,16,78,64,72,23,27,20,14,12,13,9,12
"149546",25612,64,73,3,6,18,48,72,65,60,NA,52,NA,51,53,62,66,63,NA,66,NA,66,NA,60,65,59,64,66,68,NA,66,23,30,NA,5,21,53,21,21
"179356",25617,72,72,2,5,16,69,70,74,74,69,70,69,73,70,70,66,70,70,74,69,74,78,75,80,71,60,44,76,72,84,32,47,41,5,13,5,12,14
"21288",25619,64,66,3,1,2,51,69,78,56,NA,53,NA,42,43,58,61,64,NA,53,NA,72,NA,58,81,54,65,58,66,NA,71,23,54,NA,9,23,43,23,23
"76752",25625,62,75,3,1,2,34,70,68,52,38,58,39,54,42,60,68,64,61,66,57,58,67,64,63,51,32,22,35,53,48,12,12,11,14,14,11,13,11
"111301",25628,71,71,3,4,17,67,52,68,71,54,62,56,48,71,68,68,66,75,69,70,68,84,74,72,55,73,71,67,67,63,71,73,70,6,11,10,6,14
"136653",25636,62,64,2,1,2,57,47,58,56,56,72,52,44,52,71,67,70,69,53,65,65,60,65,74,59,45,46,56,45,48,43,50,42,13,15,11,10,7
"14480",25640,68,68,3,5,17,67,71,42,63,70,74,64,68,54,73,61,58,70,67,75,72,68,53,64,67,76,34,72,68,72,35,33,42,11,5,14,9,7
"92590",25642,65,76,2,1,2,49,66,70,60,60,64,53,46,47,60,69,66,67,62,65,67,73,63,64,60,53,40,64,62,66,26,19,18,14,13,10,10,12
"62837",25643,69,69,3,2,17,66,67,71,65,61,74,63,42,61,72,76,76,74,67,53,67,70,81,74,61,66,32,67,71,68,25,25,25,13,6,8,12,11
"116311",25644,73,73,3,5,15,40,35,74,62,46,53,44,43,60,58,55,61,50,70,53,66,62,62,91,57,83,70,41,53,62,71,74,68,12,6,8,13,6
"70823",25655,71,71,3,5,17,64,61,70,75,60,73,67,59,69,74,70,74,67,72,69,73,69,73,76,71,82,50,63,75,75,50,69,51,7,16,13,14,10
"73498",25657,68,68,3,2,16,48,70,70,58,69,66,61,52,47,67,64,68,68,71,71,77,70,32,61,67,60,22,61,46,73,25,16,29,12,11,14,10,13
"57469",25659,70,78,2,6,18,71,64,64,67,66,75,70,65,61,70,79,79,68,64,53,71,64,71,61,68,53,44,72,63,63,25,33,19,5,9,9,11,11
"139092",25661,69,69,3,2,17,67,65,58,67,63,72,67,67,64,69,72,74,75,71,81,73,61,53,48,61,55,31,64,71,71,32,27,32,13,7,6,13,13
"43300",25664,67,67,2,5,17,23,12,70,54,16,51,19,12,56,54,33,31,33,60,33,71,82,33,92,18,81,63,36,56,21,63,64,58,14,7,14,6,11
"176659",25666,73,73,3,2,17,69,72,72,69,71,75,31,34,54,69,66,76,56,75,44,77,56,69,85,71,71,43,73,68,65,44,42,41,10,6,15,16,12
"116401",25667,74,74,2,2,17,71,55,64,69,65,72,64,53,66,70,79,86,74,73,65,75,71,88,72,64,74,69,69,66,49,74,76,73,11,9,7,9,12
"153669",25668,63,63,3,5,17,65,59,73,72,56,61,68,57,65,68,54,34,69,76,65,65,75,54,74,54,75,58,52,62,57,58,59,60,6,8,11,10,6
"46313",25674,62,62,2,5,17,57,58,38,57,54,62,55,43,47,61,81,73,90,61,81,62,72,77,61,57,72,32,62,59,67,18,24,15,8,11,16,12,6
"130855",25693,69,69,2,5,17,71,35,67,69,66,57,65,51,67,68,75,76,72,71,64,52,65,67,66,54,68,58,33,65,53,71,71,73,7,9,16,16,16
"85912",25730,69,75,3,6,18,67,65,67,67,66,72,67,73,62,72,81,83,78,68,69,67,58,71,63,60,54,47,68,62,65,40,47,38,7,5,12,12,7
"90558",25735,74,74,3,5,17,12,10,12,33,11,13,11,13,32,24,59,48,56,71,60,23,75,31,65,11,25,20,15,59,22,14,12,11,77,72,72,73,77
"172955",25749,67,69,3,1,2,59,68,71,72,39,63,78,74,57,63,62,67,70,65,61,69,63,76,58,72,59,56,66,70,82,36,23,31,12,13,15,15,6
"36834",25751,76,76,3,5,17,81,77,46,78,76,72,79,83,80,77,76,74,78,77,80,77,60,73,48,79,39,38,77,76,66,29,25,30,11,10,15,8,7
"52462",25753,72,72,3,5,17,45,31,69,64,18,46,27,33,51,49,54,54,32,64,60,56,81,64,81,32,81,69,35,35,33,77,76,72,12,6,6,12,8
"65772",25759,86,86,3,2,17,68,90,78,72,83,83,69,62,58,86,79,83,74,86,60,85,73,72,84,80,50,20,90,70,70,12,22,18,5,12,7,5,10
"117130",25760,64,64,3,5,17,13,11,10,32,9,12,8,11,35,25,56,50,53,64,65,36,75,61,73,15,61,22,15,11,24,12,14,18,62,66,59,65,64
"140661",25766,69,75,3,1,2,61,65,48,69,NA,77,NA,65,63,75,78,75,NA,70,NA,70,NA,73,57,62,60,58,60,NA,63,28,38,NA,6,22,63,22,22
"34390",25770,57,62,3,1,2,38,42,56,53,NA,48,NA,48,50,58,58,55,NA,53,NA,65,NA,53,52,49,56,58,55,NA,54,61,62,NA,8,21,50,21,21
"148083",25771,66,68,3,6,18,49,52,74,59,48,56,51,48,51,57,68,69,69,64,74,66,67,82,72,73,65,64,57,51,60,67,66,65,8,13,10,15,15
"183311",25772,74,74,3,5,17,63,61,67,78,60,68,65,63,80,78,55,55,60,70,57,82,70,72,78,80,68,76,60,76,72,64,74,74,7,13,9,7,13
"74281",25773,85,85,3,5,17,81,82,49,86,80,83,87,84,92,87,69,67,72,79,66,84,52,78,63,87,67,69,80,87,78,52,65,53,14,11,12,5,9
"110121",25779,60,60,3,5,17,11,14,10,38,14,13,15,12,21,22,36,35,41,62,38,20,60,30,56,11,34,14,13,12,22,9,19,19,66,52,55,63,60
"27194",25782,58,60,3,7,19,53,42,56,65,37,44,36,27,60,60,70,69,65,58,51,60,46,69,47,66,50,61,31,46,49,54,58,62,12,8,7,10,14
"90583",25789,58,58,3,5,15,50,50,59,57,50,48,49,55,58,52,67,65,57,54,61,63,76,52,59,59,59,62,28,46,47,55,56,60,14,12,12,12,12
"82219",25790,61,70,3,6,18,45,43,64,61,53,43,33,45,63,58,55,50,44,53,63,61,62,58,68,57,62,59,45,55,58,58,65,57,9,8,12,6,7
"125646",25791,70,70,3,4,17,39,47,72,55,40,38,52,58,52,59,43,45,34,53,58,70,65,73,79,57,75,73,44,45,81,74,73,69,13,8,13,14,6
"143400",25792,60,60,2,6,3,47,30,67,62,41,48,57,49,57,58,34,33,61,56,33,68,34,55,72,51,66,56,44,46,57,63,67,45,11,13,7,11,6
"109856",25793,56,61,3,1,2,46,38,61,57,NA,29,NA,39,62,48,56,52,NA,58,NA,57,NA,67,57,49,60,61,62,NA,49,47,57,NA,13,20,62,20,20
"41017",25794,66,66,3,2,17,67,68,49,62,65,67,68,61,57,64,70,74,71,60,67,68,62,77,82,62,66,42,70,56,66,23,33,23,6,16,12,14,12
"139058",25795,60,70,2,1,2,54,43,53,60,NA,58,NA,32,55,60,58,59,NA,57,NA,59,NA,60,61,38,60,59,61,NA,65,66,59,NA,7,20,55,20,20
"91158",25796,69,69,3,5,16,67,66,57,73,62,69,74,75,71,75,65,64,67,68,65,72,53,73,75,67,59,46,67,74,69,34,47,27,14,11,12,7,14
"39933",25797,56,56,2,5,15,54,48,47,57,46,52,62,50,56,56,63,64,70,42,70,55,74,63,57,51,54,54,55,55,51,53,54,47,7,6,5,14,9
"23961",25798,67,68,3,1,2,56,48,66,67,NA,57,NA,59,64,65,67,65,NA,69,NA,65,NA,75,72,64,75,71,67,NA,68,64,65,NA,8,21,64,21,21
"70029",25802,57,64,3,6,18,43,10,51,57,26,47,26,17,56,51,56,56,53,53,73,37,60,58,65,53,60,58,25,47,28,61,55,54,11,14,13,6,10
"160392",25804,60,64,3,1,2,44,27,57,57,NA,39,NA,40,49,53,56,61,NA,54,NA,58,NA,63,62,22,62,56,63,NA,52,63,65,NA,8,22,49,22,22
"162601",25806,64,64,2,5,17,55,56,62,73,67,56,64,70,69,64,55,68,71,65,73,71,67,80,73,66,57,47,38,71,56,67,72,62,14,9,6,12,11
"130864",25809,65,65,3,5,17,70,63,45,64,61,61,69,61,60,63,66,77,79,59,77,72,71,63,58,66,75,38,72,63,73,45,52,47,11,6,11,6,16
"84954",25811,65,65,3,5,17,25,25,25,21,25,25,25,25,22,25,41,40,48,60,37,24,65,29,75,25,38,21,25,25,23,25,25,25,67,64,61,64,68
"109678",25812,61,61,2,5,17,75,36,63,64,61,57,48,50,71,65,53,55,61,64,69,70,69,54,67,63,66,52,61,56,53,65,56,62,6,7,7,7,15
"57310",25813,62,62,3,5,17,57,46,65,55,52,55,52,32,48,58,54,67,60,56,55,48,72,71,59,51,77,63,58,46,50,56,63,60,1,1,1,1,1
"166850",25815,72,72,3,5,17,49,22,72,66,38,35,42,18,63,57,66,69,64,69,68,57,80,69,78,32,77,74,31,45,46,65,75,72,7,12,10,9,13
"9151",25816,72,72,3,5,17,68,63,59,77,64,74,68,74,72,76,69,67,67,74,70,72,60,69,56,71,74,48,69,75,66,52,60,57,9,6,8,11,8
"65458",25818,77,77,3,5,17,70,56,68,79,78,73,64,68,79,78,53,54,62,71,59,89,75,69,74,86,80,76,61,76,74,70,80,78,11,14,6,10,5
"145895",25819,81,81,3,2,17,73,80,63,83,75,86,80,73,77,83,77,72,84,83,83,77,71,76,63,78,66,53,82,81,72,29,42,31,12,10,5,13,14
"160953",25823,64,66,2,6,9,61,47,54,68,NA,69,NA,41,69,68,54,68,NA,54,NA,68,NA,55,69,50,41,61,66,NA,57,46,55,NA,14,20,69,20,20
"8066",25824,67,67,3,5,17,60,66,54,67,67,68,62,60,51,70,76,72,78,68,80,68,82,66,71,57,55,25,67,62,69,15,24,24,6,16,14,12,13
"86019",25830,68,68,2,2,15,65,62,60,64,50,63,46,53,61,64,74,75,74,63,68,53,58,90,70,54,64,65,61,55,53,68,69,66,6,8,11,15,7
"96998",25835,61,61,2,5,17,50,35,59,39,46,50,46,48,39,56,72,69,59,68,65,46,86,71,71,42,74,62,41,57,45,68,58,55,6,12,10,11,5
"152400",25836,67,72,3,1,2,46,57,68,44,NA,46,NA,44,44,46,67,69,NA,66,NA,33,NA,56,57,54,72,70,65,NA,73,74,74,NA,11,21,44,21,21
"15373",25837,70,79,2,1,2,68,45,62,76,NA,67,NA,64,72,77,70,65,NA,60,NA,68,NA,67,69,67,63,71,69,NA,75,66,62,NA,5,20,72,20,20
"124480",25839,63,63,3,5,17,53,54,61,64,47,58,52,60,58,60,49,53,55,57,64,75,69,64,74,64,71,65,55,62,73,59,63,47,7,11,8,15,14
"176445",25840,68,68,3,5,17,58,48,62,63,47,58,51,61,66,66,63,53,64,70,64,66,62,65,79,57,74,70,64,69,61,65,70,66,10,16,15,8,15
"158547",25843,67,67,3,2,17,67,54,58,69,47,59,54,34,62,65,69,72,72,65,68,49,73,90,79,53,67,62,62,60,34,64,64,64,7,14,14,7,11
"127602",25849,61,61,3,5,17,48,61,60,63,47,55,45,45,52,54,72,69,80,67,67,65,79,58,60,50,56,43,67,52,58,43,48,42,14,6,11,9,5
"79134",25852,63,65,3,5,17,9,11,14,33,13,7,12,16,33,23,34,43,53,61,63,36,66,56,55,10,52,11,8,12,11,14,12,18,64,69,53,59,63
"92595",25856,74,74,3,5,15,48,46,81,66,46,45,48,53,73,59,23,47,46,66,31,71,79,68,89,61,83,72,44,56,55,73,74,70,6,9,16,13,13
"117312",25859,59,59,2,5,17,47,55,57,56,58,58,49,47,44,59,75,75,62,58,64,66,64,63,80,59,59,20,50,50,62,34,39,35,6,14,8,11,15
"146704",25860,71,71,2,5,17,72,68,58,70,77,69,69,70,68,74,79,71,71,63,70,75,73,71,60,76,55,52,79,66,53,55,56,46,9,12,8,15,10
"19643",25863,55,63,3,5,17,58,40,44,57,41,49,40,54,51,60,64,67,60,61,70,66,69,71,64,47,51,51,50,44,54,52,56,45,10,12,7,10,7
"132982",25879,63,63,3,5,17,55,57,62,63,56,67,68,73,68,66,58,62,57,47,72,70,69,79,73,65,71,58,55,64,56,52,66,63,14,10,14,9,6
"148753",25905,65,65,3,5,17,33,42,68,51,37,35,26,38,56,49,38,40,29,65,47,57,48,31,81,35,69,69,19,43,30,65,68,62,11,11,10,10,12
"183445",25906,70,73,3,6,6,71,68,54,73,NA,70,NA,75,68,70,74,73,NA,66,NA,73,NA,68,66,69,63,69,71,NA,74,41,36,NA,8,23,68,23,23
"24707",25908,69,69,3,5,15,48,43,74,58,50,46,32,44,50,54,63,59,60,65,62,64,84,70,81,51,84,70,43,52,64,69,66,60,5,5,12,6,13
"69656",25913,61,61,3,5,16,38,39,67,48,37,47,43,58,46,54,38,32,35,44,46,52,56,33,78,42,73,58,32,43,46,55,61,59,14,11,6,13,7
"72465",25915,61,61,2,5,17,58,39,46,58,49,56,46,38,53,54,65,68,66,60,60,52,65,62,64,37,64,62,45,51,44,62,66,66,8,8,15,13,11
"23649",25920,78,78,3,5,17,67,62,79,66,60,68,77,78,74,70,62,60,65,73,63,83,92,71,88,78,90,72,52,56,75,78,79,72,15,13,16,9,15
"142272",25921,84,84,3,5,15,46,46,80,67,23,58,44,47,60,57,68,77,62,74,58,63,76,72,83,56,94,85,40,58,57,84,88,90,8,15,5,9,10
"112959",25922,70,70,2,2,17,60,48,57,68,44,58,58,60,59,68,68,67,69,69,65,63,68,75,63,59,60,68,56,49,70,68,75,82,7,6,8,8,8
"147145",25923,76,76,3,5,17,74,66,64,78,78,76,78,76,77,78,69,74,70,78,74,84,70,78,72,81,82,78,74,74,75,74,64,72,12,10,6,6,13
"140726",25924,71,71,3,5,17,43,37,49,69,48,48,27,48,62,54,68,66,68,68,79,76,76,77,79,43,86,81,31,74,58,63,82,74,10,8,10,9,13
"88155",25925,71,71,3,2,15,72,48,68,70,59,72,68,60,69,74,76,77,68,73,65,65,69,68,67,58,74,70,63,65,63,70,70,70,9,16,11,14,14
"4400",25926,74,74,3,5,17,77,68,60,79,65,80,81,79,78,83,60,55,71,77,65,79,68,50,70,76,69,45,75,79,84,47,54,44,6,13,15,15,13
"87798",25927,70,70,3,5,16,68,61,57,70,57,71,59,59,69,77,55,34,68,68,72,70,66,63,57,65,57,48,68,73,67,33,35,29,7,13,6,7,11
"24052",25929,68,68,3,5,17,32,71,68,65,64,67,52,42,48,68,64,66,75,66,66,71,70,49,74,60,67,25,71,56,68,21,34,25,8,11,10,12,15
"71036",25930,68,68,3,2,17,71,58,48,78,67,69,81,76,76,75,47,41,56,70,68,71,46,40,63,70,50,51,64,76,66,42,46,39,10,9,5,8,13
"67233",25933,63,70,3,1,2,70,61,49,62,NA,70,NA,62,56,68,70,68,NA,67,NA,49,NA,69,71,54,58,58,64,NA,65,30,38,NA,8,23,56,23,23
"43133",25935,74,78,3,1,2,67,78,76,70,NA,68,NA,61,64,71,77,73,NA,72,NA,75,NA,70,73,74,64,78,77,NA,73,43,46,NA,8,20,64,20,20
"154970",25942,64,64,3,5,17,16,17,12,25,8,15,13,11,21,23,42,36,53,68,45,25,57,38,71,19,31,13,11,36,16,13,18,19,64,62,54,66,66
"112443",25947,65,65,3,5,17,12,13,13,13,14,11,16,14,12,12,53,52,48,66,57,13,68,24,63,12,36,23,16,50,11,11,11,13,70,53,75,64,71
"166723",25948,67,67,2,6,10,38,42,69,53,37,38,23,33,42,45,53,53,58,63,45,62,76,52,73,47,72,54,42,34,53,68,74,72,9,6,11,14,11
"113926",25951,58,58,2,5,17,61,50,58,61,63,54,54,62,56,61,64,62,69,56,57,61,36,50,66,62,64,50,47,59,66,56,64,61,9,6,15,11,9
"26354",25952,69,73,3,1,2,61,65,65,72,NA,71,NA,61,52,73,75,82,NA,65,NA,65,NA,75,77,61,88,68,66,NA,63,44,46,NA,7,20,52,20,20
"72312",25957,71,71,3,5,16,57,72,81,70,66,66,63,57,57,71,51,53,58,68,51,73,73,68,84,69,77,48,76,67,70,41,51,38,8,8,14,8,15
"71637",25958,60,64,3,1,2,47,65,42,50,NA,65,NA,36,43,61,68,70,NA,58,NA,62,NA,66,68,57,42,49,48,NA,57,31,26,NA,13,20,43,20,20
"82910",25962,60,60,2,5,17,59,33,49,57,44,51,61,64,51,57,65,64,68,63,72,64,60,64,58,31,66,64,40,49,38,60,63,57,14,7,10,8,15
"167166",25975,61,61,3,2,17,51,40,50,62,46,52,50,52,58,58,67,69,65,59,72,58,69,74,70,49,72,58,48,54,54,60,62,61,11,6,12,13,13
"128731",25977,64,64,3,5,16,57,60,74,64,58,56,47,57,53,58,52,63,49,68,46,68,48,65,75,62,62,27,69,63,60,28,28,22,11,11,6,11,15
"34730",25984,77,77,2,5,17,54,56,78,72,38,55,52,68,69,69,65,67,55,74,47,81,66,63,76,67,77,77,42,65,65,77,78,79,13,9,13,14,13
"134234",25986,83,86,3,5,16,70,85,78,76,81,87,76,59,51,83,90,93,86,82,70,77,61,68,59,71,44,24,81,74,75,11,18,15,7,7,12,9,8
"82931",25990,76,76,3,2,17,76,54,58,73,52,75,67,55,70,76,76,75,78,76,82,68,77,77,54,61,84,75,69,68,64,74,79,79,12,14,10,10,7
"154913",25993,66,72,3,1,2,23,23,23,26,NA,23,NA,6,69,25,30,33,NA,73,NA,32,NA,33,61,23,30,21,37,NA,32,23,23,NA,66,67,69,61,68
"100700",25994,69,69,2,5,17,70,56,53,74,58,73,69,65,68,76,71,71,65,65,84,70,74,45,60,66,81,72,72,70,69,69,74,76,15,6,6,8,14
"148716",25995,65,65,3,5,17,52,40,68,50,49,46,43,49,57,46,47,49,58,60,60,56,65,55,77,47,73,69,41,57,41,62,67,65,6,9,9,11,8
"62816",25997,70,70,3,2,17,70,67,50,74,65,70,73,75,75,76,48,54,71,70,75,75,60,61,68,78,69,50,77,76,74,35,43,43,5,10,12,15,10
"134716",25998,77,77,3,5,17,71,69,63,79,66,79,64,73,76,81,78,69,79,72,83,74,63,67,59,75,55,39,71,82,68,40,41,43,15,14,10,8,5
"94835",26002,78,78,3,5,17,13,13,16,49,11,23,16,13,33,39,60,56,66,80,58,24,82,42,58,13,35,25,19,65,30,15,16,14,82,70,70,77,84
"68729",26003,69,77,3,1,2,35,42,35,35,NA,22,NA,14,64,29,36,33,NA,71,NA,37,NA,75,75,22,77,67,22,NA,31,31,22,NA,68,69,64,73,70
"49215",26004,60,60,3,2,17,50,22,53,43,35,66,58,33,44,61,78,79,74,66,81,64,74,71,58,40,76,55,41,64,63,55,60,63,7,8,5,14,9
"171001",26005,80,80,2,2,17,63,56,84,78,56,61,61,66,74,69,72,68,66,76,60,84,93,60,79,71,77,76,41,63,66,81,82,82,9,10,7,11,15
"79937",26010,67,68,3,5,17,49,53,33,65,67,71,72,63,55,72,87,85,76,67,70,59,64,61,57,56,49,35,65,65,51,29,28,30,12,12,16,12,14
"176785",26014,67,67,3,5,15,65,70,64,69,69,70,68,51,59,63,74,71,69,63,72,65,75,65,68,65,69,49,64,60,70,32,48,32,6,10,5,5,15
"143374",26015,65,71,3,1,2,64,52,59,73,NA,59,NA,72,61,72,64,63,NA,67,NA,66,NA,68,61,63,58,72,67,NA,65,35,26,NA,12,21,61,21,21
"123828",26016,66,66,3,5,17,59,36,55,63,41,63,46,33,63,64,76,68,71,65,76,58,80,72,56,33,65,59,45,41,59,62,68,72,14,10,16,7,7
"180746",26022,67,72,2,6,18,58,27,66,67,22,45,47,52,59,59,69,71,65,69,67,63,62,72,71,42,72,67,36,56,66,66,68,64,10,12,10,9,7
"115865",26027,59,59,2,5,17,60,41,47,60,35,36,34,34,53,55,53,49,58,51,72,43,70,49,69,37,70,62,35,45,46,66,61,70,10,13,10,9,5
"152808",26028,63,63,3,5,15,59,49,54,68,55,60,62,44,64,68,51,52,65,63,58,67,64,53,67,66,57,58,58,66,60,42,54,52,6,7,10,7,12
"151893",26029,58,58,3,5,17,60,42,58,66,30,48,47,65,60,63,54,47,59,54,53,57,30,69,74,60,66,56,54,59,53,60,63,59,12,8,11,7,13
"45223",26040,69,69,3,4,16,73,64,51,70,66,74,75,70,66,75,71,74,81,57,70,65,53,55,57,66,58,43,61,65,77,44,42,33,15,15,14,5,12
"98132",26044,68,68,3,5,17,55,63,64,70,61,61,62,60,68,70,53,54,58,74,46,80,54,75,81,71,59,67,72,76,64,58,65,63,6,7,9,7,8
"105151",26045,64,64,3,5,17,65,66,59,63,68,62,61,54,47,59,80,78,88,70,80,67,71,73,51,56,46,41,67,64,72,14,14,13,15,13,16,15,11
"147943",26051,73,73,3,5,17,71,69,70,77,68,73,73,71,77,74,65,68,71,73,72,73,70,70,70,71,74,70,66,72,78,62,71,60,6,16,16,15,9
"99395",26052,65,65,3,5,17,63,45,60,64,36,35,55,58,62,62,60,62,62,62,81,52,70,68,54,54,70,66,52,57,38,70,66,64,11,8,12,8,9
"67626",26057,67,67,2,5,17,70,37,72,74,38,58,59,48,66,65,45,51,63,70,52,66,71,72,65,72,69,65,39,55,56,68,65,58,11,12,11,6,10
"165988",26065,62,62,3,4,17,37,39,67,59,37,44,36,58,53,57,54,50,56,55,45,68,64,61,75,42,61,59,39,27,63,60,64,54,8,8,8,13,12
"93182",26066,66,66,3,5,15,38,20,69,63,30,47,39,28,63,56,42,50,30,57,34,58,70,63,90,43,70,65,35,34,21,60,64,63,9,6,8,16,16
"56747",26078,66,66,3,5,17,47,45,64,67,33,50,46,50,64,62,61,53,64,65,68,74,65,68,70,59,82,68,49,57,54,63,66,64,15,10,13,8,9
"4048",26085,62,62,2,5,17,64,36,55,63,38,49,51,53,55,65,60,65,57,68,71,55,72,75,71,59,68,50,38,58,56,62,62,60,13,5,14,15,9
"82847",26092,64,64,3,5,17,56,65,66,62,54,59,21,40,36,63,65,53,70,69,50,69,78,34,74,54,61,17,65,55,57,10,17,12,10,9,9,6,9
"30881",26096,82,82,3,5,17,84,72,48,86,82,84,80,79,86,88,63,64,66,77,75,84,73,72,80,86,40,53,74,86,79,40,58,50,14,15,14,12,13
"92777",26098,76,76,2,4,15,63,32,72,61,46,45,44,34,67,50,51,53,53,73,58,56,71,51,78,43,83,80,34,37,51,80,80,76,15,9,6,6,15
"138695",26099,77,89,3,1,2,73,42,85,76,NA,60,NA,26,70,76,50,55,NA,69,NA,60,NA,54,62,21,76,95,96,NA,90,85,82,NA,5,21,70,21,21
